ev_penetration,hhp_percentage,mhp_percentage,boiler_percentage,valid_mix,n_dwellings,n_ev_homes,n_hhp_homes,n_mhp_homes,n_boiler_homes,mc_runs_per_pixel,dt_hours,co2_kg_per_kwh,annual_gas_mean_kwh,annual_gas_std_kwh,annual_gas_p50_kwh,annual_gas_p90_kwh,annual_gas_p95_kwh,annual_gas_max_kwh,annual_gas_min_kwh,annual_co2_mean_kg,annual_co2_std_kg,annual_co2_p50_kg,annual_co2_p90_kg,annual_co2_p95_kg,annual_co2_max_kg,annual_co2_min_kg
0.0,0.35000000000000003,0.25,0.3999999999999999,True,147,0,51,37,59,100,0.5,0.183,788967.7004734755,30426.377561948146,788924.7208164523,825865.818926714,839496.6048656406,885225.3823321471,709713.5321252969,144381.089186646,5568.02709383651,144373.22390941076,151133.44486358867,153627.87869041224,161996.24496678292,129877.57637892933
0.0,0.35000000000000003,0.30000000000000004,0.34999999999999987,True,147,0,51,44,52,100,0.5,0.183,710476.2542072337,27230.236199603438,715544.4695777548,738590.848407612,745125.8041023536,775844.9939670675,625553.6924208646,130017.15451992379,4983.133224527429,130944.63793272914,135162.12525859298,136358.02215073074,141979.63389597335,114476.32571301822
0.0,0.35000000000000003,0.35000000000000003,0.2999999999999999,True,147,0,51,51,45,100,0.5,0.183,637138.4712611244,30372.488880046036,636233.4970686054,675623.2480927389,685381.041425078,720406.7156925729,580247.0248144366,116596.34024078576,5558.165465048423,116430.72996355478,123639.05440097123,125424.73058078926,131834.42897174082,106185.20554104188
0.0,0.35000000000000003,0.4,0.2499999999999999,True,147,0,51,59,37,100,0.5,0.183,550854.5359829589,25975.855080026766,552448.9570720968,583237.1276656251,591414.1203496583,608102.7592197284,487421.5457975499,100806.38008488147,4753.5814796448985,101098.1591441937,106732.39436280937,108228.78402398748,111282.8049372103,89198.14288095162
0.0,0.35000000000000003,0.45,0.1999999999999999,True,147,0,51,66,30,100,0.5,0.183,471348.1435416597,25165.32924217611,467955.8181975422,505422.9188783864,515585.1488686904,538024.5227681451,407086.4362636952,86256.71026812372,4605.255251318228,85635.91473015022,92492.3941547447,94352.08224297034,98458.48766657055,74496.81783625622
0.0,0.35000000000000003,0.5,0.1499999999999999,True,147,0,51,74,22,100,0.5,0.183,380436.99992622377,26916.550531681765,380515.60633481614,414356.1169917262,420420.0141767971,451862.4271891217,318958.4585420576,69619.97098649894,4925.728747297763,69634.35595927136,75827.1694094859,76936.86259435388,82690.82417560928,58369.39791319654
0.0,0.35000000000000003,0.55,0.09999999999999987,True,147,0,51,81,15,100,0.5,0.183,314074.0131039185,22539.997499145433,312088.5197325732,341697.31402884325,352643.58688546595,375995.51449261163,266718.96451218333,57475.54439801709,4124.819542343614,57112.199111060894,62530.60846727831,64533.77640004026,68807.17915214793,48809.57050572955
0.0,0.35000000000000003,0.6000000000000001,0.04999999999999982,True,147,0,51,88,8,100,0.5,0.183,236222.4321785809,16749.2739196952,235050.01118370966,256852.7521261124,260212.8965006805,286865.10574004357,191861.65438146645,43228.70508868031,3065.1171273042214,43014.15204661887,47004.05363907857,47618.96005962453,52496.31435042797,35110.68275180836
0.0,0.35000000000000003,0.65,0.0,True,147,0,51,96,0,100,0.5,0.183,148853.65466291725,11641.855427644603,148900.50429915567,164617.78143941847,167664.699070133,171191.62485755622,113380.15265488854,27240.218803313855,2130.459543258962,27248.792286745487,30125.05400341358,30682.63992983434,31328.06734893279,20748.567935844603
0.0,0.4,0.0,0.6,True,147,0,59,0,88,100,0.5,0.183,1123925.220190947,23385.64605469754,1124681.8521234228,1153162.8499902834,1162458.8406113076,1189949.9819460306,1069772.9181919463,205678.3152949433,4279.57322800965,205816.77893858636,211028.80154822185,212729.9678318693,217760.8466961236,195768.44402912617
0.0,0.4,0.05,0.5499999999999999,True,147,0,59,7,81,100,0.5,0.183,1049279.5426523492,23170.690055433013,1050709.3263678765,1081179.778419766,1087632.7481384892,1099211.1654379643,996468.4290193191,192018.1563053799,4240.236280144242,192279.8067253214,197855.89945081717,199036.79290934355,201155.64327514745,182353.7225105354
0.0,0.4,0.1,0.5,True,147,0,59,15,73,100,0.5,0.183,960679.2773224851,26517.300602386626,960253.9132514911,994511.3842849935,1001916.0148465666,1017185.3902893057,891274.7426983044,175804.3077500147,4852.666010236751,175726.46612502288,181995.58332415382,183350.6307169217,186144.92642294295,163103.2779137897
