run_count,bootstrap_p2_5_peak_kw,bootstrap_mean_peak_kw,bootstrap_p97_5_peak_kw,bootstrap_samples,bootstrap_seed
419,357.616535248413,377.9224974143681,400.50544831756594,5000,42
420,357.6151583647156,377.9223771611375,400.50578640823363,5000,42
421,357.6156692565918,377.9218996549982,400.50574085998534,5000,42
422,357.61562035842894,377.9222781788471,400.50871123168946,5000,42
423,357.6146530407715,377.9221758559788,400.5098223187256,5000,42
424,357.6157557777405,377.92249472227513,400.5129032620239,5000,42
425,357.6158823999024,377.92258670186123,400.5135534851074,5000,42
426,357.61448267593386,377.9219347668141,400.51329995117186,5000,42
427,357.6143313900757,377.92207539671443,400.5154310110473,5000,42
428,357.614575940094,377.9224562735862,400.51817234985356,5000,42
429,357.61452895080566,377.9222695938932,400.5174220031738,5000,42
430,357.61318451705927,377.922079488483,400.5178570751953,5000,42
431,357.61227874450685,377.9220932765299,400.517792276001,5000,42
432,357.6130621366882,377.9219599510328,400.5192493040466,5000,42
433,357.61195217895505,377.92166263257184,400.51901440551757,5000,42
434,357.6112549191284,377.9215049268174,400.5178926387024,5000,42
435,357.6118633413696,377.92154708963267,400.51551234222416,5000,42
436,357.6140678581238,377.9212596340779,400.51429901657104,5000,42
437,357.61456740661623,377.92156706855775,400.5153752380371,5000,42
438,357.6140507597351,377.9215466447935,400.51504039627076,5000,42
439,357.6156602896118,377.92127520960383,400.5157059887696,5000,42
440,357.6156670252991,377.9215643288215,400.517422252655,5000,42
441,357.61633920288085,377.920931508895,400.5196967834473,5000,42
442,357.6162315428161,377.9215317904097,400.52608808029174,5000,42
443,357.61585926940916,377.9210781840922,400.5257240567016,5000,42
444,357.61564732345573,377.92162412425455,400.5272112846375,5000,42
