Dwelling ID,Device(HHP/mHP+capacity),Tariff Type,Weather(mild/extreme),Peak Electricity Consumption (Feb 11) 1600-1900,Total Electricity Consumption (Feb10-12),Total gas Consumption (Feb10-12),R(K/W),C(J/K),g(m^2)
EOH1135,HHP 4 kW,Time-of-use,mild,0.0,61.859,18.95,0.0048065121721165,26870106.292233333,1.014082828864514
EOH1147,HHP 4 kW,Time-of-use,mild,0.0,64.912,40.78,0.0041534639824978,30069189.27649646,2.03091410409414
EOH1154,HHP 4 kW,Time-of-use,mild,0.0,67.961,41.667,0.0037613433535768,84726414.9019682,7.622534206467807
EOH1166,HHP 4 kW,Time-of-use,mild,0.0,26.658,0.0,0.0102954996994542,51205418.89684712,4.122767301111545
EOH1171,HHP 4 kW,Time-of-use,mild,0.0,37.059,0.0,0.0070353753544904,22398859.91213446,8.647032272203719
EOH1175,HHP 4 kW,Time-of-use,mild,0.0,69.709,65.813,0.0035021844362518,77400420.13417755,5.665875251903684
EOH1186,HHP 4 kW,Time-of-use,mild,0.0,65.726,34.772,0.0041542961701422,48237687.27522992,2.895972395977277
EOH1191,HHP 4 kW,Time-of-use,mild,0.0,29.698,0.0,0.0079760327151448,33453684.50517701,12.50535976809535
EOH1207,HHP 4 kW,Time-of-use,mild,0.0,64.504,20.203,0.0041113312551282,75549465.85657865,8.88648742615821
EOH1239,HHP 4 kW,Time-of-use,mild,0.0,63.672,19.095,0.0046600038371555,37830889.47319085,1.0247040997267458
EOH1242,HHP 4 kW,Time-of-use,mild,0.0,43.167,0.0,0.0069995050848912,35597001.51801246,3.0556227868267367
EOH1249,HHP 4 kW,Time-of-use,mild,0.0,25.141,0.0,0.0107130372715984,110564457.18649752,4.244938735158652
EOH1251,HHP 4 kW,Time-of-use,mild,0.0,62.426,32.875,0.0045394089100156,25260974.01793093,1.0009423466382524e-06
EOH1254,HHP 4 kW,Time-of-use,mild,0.0,40.391,0.0,0.0080283722515847,20505845.920043048,0.2750103499425577
EOH1255,HHP 4 kW,Time-of-use,mild,0.0,60.019,4.024,0.0044215712220435,95660863.93427809,11.08982507960293
EOH1260,HHP 4 kW,Time-of-use,mild,0.0,21.495,0.0,0.0062738191870215,202409087.96232283,29.9999999898202
EOH1281,HHP 4 kW,Time-of-use,mild,0.0,14.731,0.0,0.0209119352187812,14683999.17753535,0.559758372801963
EOH1286,HHP 4 kW,Time-of-use,mild,0.0,51.515,0.0,0.0061606875791176,29443713.017869543,1.4001097186567963
EOH1302,HHP 4 kW,Time-of-use,mild,0.0,40.031,0.0,0.0081292198170095,59249899.0870322,1.018153955241593e-06
EOH1304,HHP 4 kW,Time-of-use,mild,0.0,46.312,0.0,0.007049143380072,23665571.98789078,1.0009141201230237e-06
EOH1306,HHP 4 kW,Time-of-use,mild,0.0,37.473,0.0,0.0069120590035092,80641301.50261433,8.906306726012891
EOH1311,HHP 4 kW,Time-of-use,mild,0.0,68.181,64.164,0.0037480133745175,69416468.10293978,1.1677236396699138
EOH1327,HHP 4 kW,Time-of-use,mild,0.0,44.192,0.0,0.0073958396672002,18940635.61577901,1.0009051531317487e-06
EOH1328,HHP 4 kW,Time-of-use,mild,0.0,62.038,7.066,0.0051063472765033,70735812.3121734,1.089770581539482e-06
